,job,marital,education,default,housing,loan,campaign,previous,previous_outcome
41834,3,0,3.0,0,0,0,2.0,1.0,1
34413,4,1,3.0,0,1,0,5.0,2.0,0
40465,4,1,3.0,0,0,0,2.0,0.0,3
17675,3,0,1.0,0,0,0,2.0,0.0,3
36213,1,0,2.0,0,1,0,1.0,0.0,3
14143,1,0,1.0,0,1,0,2.0,0.0,3
24106,4,2,3.0,0,1,0,1.0,0.0,3
19835,4,1,3.0,0,1,0,4.0,0.0,3
16745,1,0,2.0,0,1,0,4.0,0.0,3
1249,4,0,3.0,0,0,0,1.0,0.0,3
27593,7,0,2.0,0,0,0,3.0,0.0,3
34693,7,0,2.0,0,1,0,2.0,0.0,3
21378,4,1,2.0,0,1,1,10.0,0.0,3
17794,0,0,2.0,0,1,0,11.0,0.0,3
16971,3,0,3.0,0,1,1,1.0,0.0,3
33904,0,0,3.0,0,1,0,1.0,1.0,0
15911,0,0,2.0,0,1,0,2.0,0.0,3
38039,6,0,2.0,0,1,0,7.0,0.0,3
16490,7,0,2.0,0,1,0,2.0,0.0,3
38765,3,1,2.0,0,1,0,3.0,0.0,3
28645,9,1,2.0,0,0,1,2.0,3.0,1
36128,7,0,2.0,0,1,1,1.0,4.0,0
18424,4,1,2.0,0,0,0,6.0,0.0,3
17298,7,0,2.0,0,1,0,2.0,0.0,3
28385,7,0,2.0,0,0,0,2.0,6.0,0
34013,7,0,2.0,0,0,0,2.0,0.0,3
36987,7,0,2.0,0,1,0,7.0,0.0,3
11472,5,1,2.0,0,0,0,1.0,0.0,3
9212,5,2,2.0,0,0,0,2.0,0.0,3
21065,0,0,2.0,0,0,0,2.0,0.0,3
16514,9,1,2.0,0,1,0,4.0,0.0,3
18732,1,2,1.0,0,1,1,4.0,0.0,3
22755,1,0,2.0,0,1,0,4.0,0.0,3
38769,4,1,3.0,0,1,0,3.0,0.0,3
3998,2,0,3.0,0,1,0,4.0,0.0,3
5774,7,1,3.0,0,1,0,1.0,0.0,3
42485,9,0,2.0,0,0,0,1.0,2.0,0
41842,5,0,3.0,0,0,0,1.0,1.0,1
7595,1,0,2.0,0,1,0,2.0,0.0,3
27608,4,0,2.0,0,0,0,6.0,0.0,3
29317,2,0,3.0,0,1,1,4.0,0.0,3
11744,9,0,2.0,0,1,0,1.0,0.0,3
41167,4,0,3.0,0,1,1,1.0,1.0,2
20611,5,0,2.0,0,0,0,4.0,0.0,3
40453,0,0,2.0,0,0,0,2.0,0.0,3
31542,8,1,1.0,0,0,0,2.0,0.0,3
11458,7,0,2.0,0,0,1,2.0,0.0,3
37059,1,0,1.0,0,1,0,3.0,0.0,3
40927,8,1,1.0,0,0,0,1.0,0.0,3
8859,0,0,1.0,0,1,1,6.0,0.0,3
10718,4,0,3.0,0,0,0,3.0,0.0,3
23672,9,0,2.0,0,0,0,1.0,0.0,3
44634,5,0,1.0,0,0,0,1.0,2.0,2
40614,4,0,3.0,0,0,0,1.0,2.0,0
31400,8,1,2.0,0,0,0,2.0,0.0,3
10002,7,0,2.0,0,1,0,2.0,0.0,3
6945,7,0,2.0,0,1,0,10.0,0.0,3
44182,1,0,2.0,0,1,1,1.0,0.0,3
5182,1,0,2.0,0,0,0,6.0,0.0,3
16732,7,0,2.0,0,1,0,1.0,0.0,3
28587,1,1,1.0,0,0,0,2.0,0.0,3
1566,1,0,1.0,0,1,0,2.0,0.0,3
4692,1,1,2.0,0,1,0,10.0,0.0,3
15441,1,0,1.0,0,0,1,7.0,0.0,3
32301,1,0,2.0,0,0,0,1.0,1.0,0
19386,1,0,2.0,0,0,0,5.0,0.0,3
25997,8,1,2.0,0,1,0,2.0,0.0,3
42620,10,1,2.0,0,0,0,1.0,0.0,3
4424,9,0,2.0,0,0,0,5.0,0.0,3
6239,1,0,2.0,0,1,0,2.0,0.0,3
8020,4,1,2.0,0,1,0,1.0,0.0,3
15184,1,1,2.0,0,1,0,3.0,0.0,3
14556,4,1,3.0,0,0,0,5.0,0.0,3
6621,2,1,2.0,0,1,0,1.0,0.0,3
3137,0,0,2.0,0,1,0,2.0,0.0,3
26887,1,0,1.0,0,1,0,2.0,0.0,3
20697,9,0,2.0,0,1,0,8.0,0.0,3
12214,4,2,3.0,0,1,0,23.0,0.0,3
2130,6,0,2.0,0,1,0,2.0,0.0,3
32939,4,0,3.0,0,1,0,2.0,2.0,0
8564,4,0,1.0,0,1,0,1.0,0.0,3
34710,1,1,2.0,0,1,0,1.0,0.0,3
32155,1,0,2.0,0,1,0,1.0,0.0,3
28401,4,0,2.0,0,0,0,1.0,0.0,3
43856,6,1,3.0,0,0,1,1.0,0.0,3
15678,9,1,2.0,0,0,0,1.0,0.0,3
38766,4,1,3.0,0,1,0,8.0,5.0,2
12472,1,2,1.0,0,0,0,1.0,0.0,3
19894,4,1,3.0,0,0,1,2.0,0.0,3
8543,2,0,3.0,0,0,0,3.0,0.0,3
35122,9,1,2.0,0,1,0,6.0,0.0,3
32399,1,1,2.0,0,1,1,2.0,2.0,0
31604,6,0,2.0,0,1,0,2.0,2.0,0
22817,1,0,2.0,0,0,0,6.0,0.0,3
43998,9,0,3.0,0,0,0,2.0,3.0,2
26092,7,0,2.0,0,1,0,6.0,0.0,3
29460,4,1,3.0,0,1,0,2.0,2.0,0
24992,0,2,2.0,0,0,0,1.0,2.0,0
17668,9,1,2.0,0,0,0,2.0,0.0,3
6204,1,0,1.0,0,1,0,1.0,0.0,3
19152,5,0,3.0,0,0,0,1.0,0.0,3
9461,4,0,2.0,0,0,0,1.0,0.0,3
14843,7,1,2.0,0,0,0,1.0,0.0,3
33792,0,0,2.0,0,0,0,1.0,0.0,3
15717,6,0,3.0,0,1,0,1.0,0.0,3
8700,9,1,3.0,0,1,0,7.0,0.0,3
18772,4,0,3.0,0,1,0,5.0,0.0,3
37486,3,1,2.0,0,1,1,5.0,0.0,3
7461,1,0,2.0,0,1,1,2.0,0.0,3
25205,4,1,3.0,0,0,1,2.0,2.0,2
23689,9,0,2.0,0,0,0,1.0,0.0,3
18869,9,1,2.0,0,0,0,1.0,0.0,3
42418,0,1,2.0,0,1,0,2.0,5.0,1
16341,1,1,2.0,0,1,1,2.0,0.0,3
34418,1,0,1.0,0,1,0,5.0,2.0,2
36515,5,0,1.0,0,1,0,3.0,0.0,3
16249,4,1,3.0,0,0,0,1.0,0.0,3
11817,1,0,2.0,0,1,0,3.0,0.0,3
28570,9,1,2.0,0,1,0,2.0,0.0,3
23366,4,0,3.0,0,0,0,11.0,0.0,3
40966,3,1,2.0,0,0,0,1.0,0.0,3
18064,1,0,1.0,0,1,0,2.0,0.0,3
29492,10,1,3.0,0,1,0,1.0,0.0,3
21994,4,0,3.0,0,1,0,4.0,0.0,3
22293,4,0,2.0,0,0,0,11.0,0.0,3
9561,1,0,2.0,0,1,0,2.0,0.0,3
992,1,1,2.0,0,1,0,1.0,0.0,3
36850,0,1,2.0,0,0,0,3.0,2.0,0
27214,4,0,3.0,0,0,0,1.0,0.0,3
43984,0,2,2.0,0,1,1,1.0,0.0,3
11430,7,0,2.0,0,0,0,1.0,0.0,3
5820,4,0,3.0,0,1,0,3.0,0.0,3
23322,9,1,2.0,0,0,1,3.0,0.0,3
36714,4,1,3.0,0,1,0,1.0,4.0,0
22439,4,1,3.0,0,0,0,2.0,0.0,3
11701,1,0,2.0,0,1,1,1.0,0.0,3
7515,8,1,3.0,0,1,0,2.0,0.0,3
3009,1,0,1.0,0,1,0,1.0,0.0,3
7043,7,2,2.0,0,1,0,17.0,0.0,3
24903,4,0,2.0,0,0,0,1.0,0.0,3
33730,4,0,3.0,0,0,0,1.0,0.0,3
32185,10,1,3.0,0,0,0,2.0,0.0,3
36757,1,0,2.0,0,1,1,2.0,0.0,3
12130,1,0,2.0,0,0,0,3.0,0.0,3
23331,4,0,3.0,0,0,0,3.0,0.0,3
29092,7,0,2.0,0,1,1,1.0,1.0,0
35036,0,0,2.0,0,1,0,2.0,2.0,0
22225,9,1,3.0,0,0,0,2.0,0.0,3
42461,5,0,2.0,0,0,0,1.0,0.0,3
1170,1,0,1.0,0,1,0,1.0,0.0,3
16993,4,0,2.0,0,1,0,1.0,0.0,3
16310,1,1,2.0,0,1,0,1.0,0.0,3
36006,0,2,2.0,0,1,0,2.0,1.0,0
24627,4,0,3.0,0,1,1,2.0,1.0,0
16746,1,0,2.0,0,1,0,2.0,0.0,3
44865,10,1,2.0,0,0,0,1.0,1.0,0
17072,9,1,3.0,0,1,0,30.0,0.0,3
1975,1,0,1.0,0,1,0,3.0,0.0,3
43086,5,0,2.0,0,0,0,1.0,0.0,3
26612,10,0,2.0,0,0,0,2.0,2.0,2
31034,0,1,2.0,0,1,0,1.0,1.0,0
34092,3,2,2.0,0,0,0,2.0,0.0,3
30190,1,0,2.0,0,1,0,1.0,0.0,3
19144,9,0,3.0,0,0,0,4.0,0.0,3
20003,9,1,3.0,0,0,0,3.0,0.0,3
26491,4,1,3.0,0,1,0,3.0,0.0,3
29902,4,2,3.0,0,0,0,1.0,0.0,3
17603,4,1,3.0,0,0,0,4.0,0.0,3
13499,4,0,3.0,0,1,0,1.0,0.0,3
24317,1,0,1.0,0,0,1,1.0,0.0,3
14385,4,0,3.0,0,1,0,3.0,0.0,3
17970,1,2,2.0,1,1,0,2.0,0.0,3
20522,9,1,3.0,0,0,0,2.0,0.0,3
31503,0,0,2.0,0,1,0,1.0,2.0,0
9812,5,1,1.0,0,0,0,1.0,0.0,3
4154,9,0,3.0,0,0,0,1.0,0.0,3
18212,4,1,3.0,1,0,0,4.0,0.0,3
4636,1,0,2.0,0,1,0,2.0,0.0,3
7375,0,1,2.0,0,0,1,3.0,0.0,3
40533,5,0,2.0,0,0,0,1.0,1.0,0
15987,9,0,3.0,0,1,0,1.0,0.0,3
21509,4,0,3.0,0,0,1,2.0,0.0,3
39062,1,1,2.0,0,1,0,1.0,0.0,3
39403,5,2,1.0,0,1,0,1.0,1.0,2
25072,2,1,1.0,0,1,0,1.0,5.0,0
10643,2,0,2.0,0,0,0,1.0,0.0,3
44802,4,1,3.0,0,0,0,2.0,3.0,1
33555,9,1,2.0,0,1,0,3.0,0.0,3
10194,4,0,2.0,0,0,0,6.0,0.0,3
14984,1,0,2.0,0,1,1,3.0,0.0,3
34354,1,0,2.0,0,0,0,4.0,0.0,3
43353,8,1,2.0,0,0,0,3.0,3.0,0
13704,1,0,2.0,0,0,1,1.0,0.0,3
5671,9,2,2.0,0,1,0,1.0,0.0,3
26291,1,0,1.0,0,1,1,1.0,3.0,0
5273,1,0,2.0,0,1,0,2.0,0.0,3
16018,6,0,3.0,0,0,1,1.0,0.0,3
2107,1,0,1.0,0,1,0,2.0,0.0,3
9231,4,0,3.0,0,1,0,11.0,0.0,3
25204,3,1,2.0,0,0,0,2.0,0.0,3
42427,0,1,2.0,0,0,0,1.0,1.0,1
10633,2,2,1.0,0,0,0,1.0,0.0,3
5927,1,0,2.0,0,1,0,2.0,0.0,3
2419,4,0,3.0,0,1,1,1.0,0.0,3
16445,7,0,2.0,0,0,1,10.0,0.0,3
38668,1,0,1.0,0,1,0,3.0,4.0,0
9703,1,0,2.0,0,1,0,5.0,0.0,3
44240,1,0,2.0,0,1,0,1.0,0.0,3
33807,9,1,2.0,0,0,0,2.0,0.0,3
34837,0,2,2.0,0,1,0,1.0,0.0,3
16230,4,0,2.0,0,1,0,1.0,0.0,3
34458,4,0,3.0,0,1,0,1.0,2.0,0
26199,9,0,2.0,0,0,0,1.0,0.0,3
23886,4,2,3.0,0,0,0,2.0,0.0,3
33791,5,1,3.0,0,0,0,2.0,0.0,3
38767,0,0,2.0,0,1,0,14.0,0.0,3
28643,3,0,1.0,0,1,1,2.0,0.0,3
37713,4,2,3.0,0,1,1,4.0,0.0,3
33955,7,0,2.0,0,0,0,1.0,0.0,3
38808,9,0,2.0,0,1,0,7.0,0.0,3
31773,1,0,2.0,0,1,0,1.0,25.0,0
13187,0,1,2.0,0,0,0,2.0,0.0,3
1199,1,0,2.0,1,0,0,1.0,0.0,3
3869,4,1,3.0,0,1,1,2.0,0.0,3
6267,9,2,2.0,0,1,0,1.0,0.0,3
4856,4,0,2.0,0,1,0,1.0,0.0,3
9857,7,0,2.0,0,1,0,17.0,0.0,3
44606,8,1,1.0,1,0,0,1.0,0.0,3
12228,1,0,2.0,0,0,0,8.0,0.0,3
25353,5,0,2.0,0,0,0,2.0,15.0,0
7556,0,0,2.0,0,1,1,1.0,0.0,3
31635,0,1,2.0,0,1,0,2.0,0.0,3
41355,5,0,2.0,0,0,0,1.0,0.0,3
9789,1,0,3.0,0,0,0,1.0,0.0,3
32812,7,0,2.0,0,1,0,1.0,0.0,3
22014,1,0,2.0,0,1,0,3.0,0.0,3
33256,9,0,2.0,0,1,0,3.0,3.0,2
40439,1,0,2.0,0,1,0,2.0,3.0,0
34941,0,0,2.0,0,0,0,1.0,0.0,3
23719,4,0,3.0,0,0,1,10.0,0.0,3
12013,7,2,2.0,0,1,0,3.0,0.0,3
882,3,0,3.0,0,1,1,1.0,0.0,3
32906,9,1,2.0,0,1,0,2.0,2.0,0
37112,7,0,2.0,0,1,0,3.0,0.0,3
38686,0,0,2.0,0,1,0,2.0,3.0,0
43843,1,1,2.0,0,1,0,2.0,12.0,1
7790,4,2,3.0,0,0,0,3.0,0.0,3
20835,1,0,1.0,0,0,1,4.0,0.0,3
5297,9,2,3.0,0,1,0,1.0,0.0,3
18689,4,1,3.0,0,0,0,3.0,0.0,3
21548,9,0,2.0,0,0,0,8.0,0.0,3
39058,0,1,2.0,0,1,0,1.0,1.0,1
6707,0,0,2.0,1,1,0,2.0,0.0,3
18552,4,0,3.0,0,0,0,6.0,0.0,3
15101,7,0,2.0,0,0,1,3.0,0.0,3
772,9,1,2.0,0,1,0,4.0,0.0,3
27355,6,0,1.0,0,1,0,2.0,0.0,3
38526,5,2,3.0,0,1,0,4.0,3.0,0
15520,9,1,2.0,0,1,0,1.0,0.0,3
38552,1,0,1.0,0,1,1,9.0,4.0,2
5420,4,1,3.0,0,1,1,1.0,0.0,3
33379,1,0,1.0,0,1,1,3.0,1.0,0
10222,0,1,3.0,0,0,0,3.0,0.0,3
12988,1,0,2.0,0,1,0,2.0,0.0,3
2880,1,1,2.0,0,0,0,1.0,0.0,3
33873,5,0,1.0,0,0,0,1.0,0.0,3
16901,1,1,2.0,0,0,1,1.0,0.0,3
2253,7,0,2.0,0,1,1,1.0,0.0,3
33705,4,1,3.0,0,0,0,1.0,0.0,3
3506,3,2,2.0,0,0,0,1.0,0.0,3
33517,1,1,3.0,0,1,0,2.0,1.0,0
5161,1,0,2.0,0,1,1,3.0,0.0,3
30202,4,0,3.0,0,0,0,1.0,1.0,0
7743,0,0,2.0,0,1,0,2.0,0.0,3
14241,4,1,3.0,0,1,1,2.0,0.0,3
26646,0,0,2.0,0,1,0,1.0,0.0,3
29023,9,1,2.0,1,0,0,1.0,0.0,3
41244,4,0,2.0,0,0,0,2.0,0.0,3
16759,1,0,2.0,0,1,0,1.0,0.0,3
2839,9,0,2.0,0,1,0,1.0,0.0,3
42328,5,0,2.0,0,0,0,2.0,0.0,3
10377,3,2,2.0,0,0,0,1.0,0.0,3
32654,1,0,2.0,0,0,0,3.0,0.0,3
16945,2,0,2.0,0,1,0,1.0,0.0,3
3102,1,0,2.0,0,1,0,7.0,0.0,3
28565,9,1,2.0,0,1,0,2.0,1.0,2
28605,4,0,2.0,0,0,0,3.0,0.0,3
11203,6,0,2.0,0,0,0,1.0,0.0,3
2000,4,0,1.0,0,1,0,4.0,0.0,3
40573,0,0,3.0,0,1,0,2.0,1.0,1
36036,0,0,2.0,0,1,0,1.0,1.0,0
34978,1,1,1.0,0,1,1,1.0,0.0,3
19548,4,0,2.0,0,1,0,2.0,0.0,3
9524,1,0,2.0,0,0,0,2.0,0.0,3
2620,7,0,1.0,0,1,1,1.0,0.0,3
20129,9,1,2.0,0,0,0,2.0,0.0,3
30901,4,0,3.0,0,0,0,5.0,0.0,3
42768,5,0,1.0,0,0,0,3.0,1.0,0
24617,0,0,2.0,0,0,0,3.0,0.0,3
42951,8,0,2.0,0,0,0,1.0,3.0,1
2474,2,1,1.0,0,1,0,2.0,0.0,3
43805,9,2,2.0,0,0,0,1.0,0.0,3
12501,9,1,3.0,0,0,0,4.0,0.0,3
26818,1,2,1.0,0,1,0,2.0,0.0,3
33645,7,0,2.0,0,1,0,2.0,0.0,3
17637,4,2,3.0,0,0,0,2.0,0.0,3
31821,4,0,2.0,0,1,1,1.0,0.0,3
20413,9,0,2.0,0,0,0,2.0,0.0,3
3479,1,0,2.0,0,1,1,1.0,0.0,3
41570,4,0,3.0,0,0,0,1.0,0.0,3
36862,1,0,2.0,0,1,0,2.0,0.0,3
35333,1,0,1.0,0,1,0,1.0,3.0,0
27390,7,0,2.0,0,1,0,3.0,0.0,3
36961,7,0,2.0,0,1,0,3.0,1.0,2
4453,7,0,2.0,0,1,0,2.0,0.0,3
14988,5,0,1.0,0,0,0,3.0,0.0,3
7304,9,0,2.0,0,1,0,2.0,0.0,3
392,9,2,3.0,0,1,0,1.0,0.0,3
19091,9,0,2.0,0,0,0,2.0,0.0,3
8881,1,0,1.0,0,1,0,1.0,0.0,3
27064,1,0,2.0,0,1,0,1.0,0.0,3
21129,9,0,2.0,0,0,0,8.0,0.0,3
25385,4,1,3.0,0,0,0,1.0,0.0,3
42661,10,0,2.0,0,0,0,1.0,4.0,1
25145,0,0,2.0,0,0,1,2.0,0.0,3
22273,1,0,2.0,0,0,0,3.0,0.0,3
17548,10,0,1.0,0,0,0,2.0,0.0,3
44874,10,0,2.0,0,0,0,2.0,0.0,3
5487,0,0,2.0,0,1,0,5.0,0.0,3
13980,1,0,2.0,0,0,1,6.0,0.0,3
9575,6,2,3.0,0,1,1,2.0,0.0,3
21098,1,0,2.0,0,1,0,2.0,0.0,3
21537,0,0,3.0,0,1,0,2.0,0.0,3
34340,5,0,3.0,0,0,0,5.0,0.0,3
36963,1,0,2.0,0,1,0,7.0,0.0,3
43401,1,0,2.0,0,0,0,1.0,0.0,3
37127,9,2,3.0,0,1,1,2.0,0.0,3
41730,5,0,2.0,0,0,0,1.0,0.0,3
30291,3,2,2.0,0,0,0,1.0,0.0,3
13912,2,0,2.0,0,0,1,1.0,0.0,3
444,9,0,2.0,0,1,0,1.0,0.0,3
4762,7,2,2.0,0,1,0,5.0,0.0,3
36325,0,2,2.0,0,1,1,2.0,3.0,0
10959,8,1,3.0,0,0,0,3.0,0.0,3
22164,4,0,3.0,0,0,0,2.0,0.0,3
11391,1,0,1.0,0,1,0,1.0,0.0,3
4535,1,1,2.0,0,1,0,1.0,0.0,3
13625,9,1,2.0,0,0,1,5.0,0.0,3
10535,4,2,2.0,0,1,1,2.0,0.0,3
32911,7,2,1.0,0,1,0,2.0,1.0,0
17363,9,0,2.0,0,1,0,3.0,0.0,3
418,1,2,1.0,0,1,1,1.0,0.0,3
4240,1,0,1.0,0,1,0,1.0,0.0,3
16912,7,1,2.0,0,0,0,1.0,0.0,3
42342,4,0,3.0,0,0,0,2.0,0.0,3
44654,9,1,3.0,0,0,0,2.0,1.0,1
6557,7,1,2.0,0,1,0,8.0,0.0,3
1436,1,1,2.0,0,1,1,1.0,0.0,3
41944,0,0,2.0,0,0,0,2.0,0.0,3
14443,1,1,2.0,0,0,0,4.0,0.0,3
28683,1,0,1.0,0,1,0,1.0,0.0,3
45182,9,0,2.0,0,0,0,2.0,5.0,1
21092,1,0,1.0,0,0,0,4.0,0.0,3
42519,8,1,2.0,0,0,0,4.0,2.0,1
10976,1,0,2.0,0,1,0,2.0,0.0,3
44426,7,0,2.0,0,0,0,1.0,3.0,1
30464,1,0,2.0,0,1,1,4.0,0.0,3
4888,9,1,2.0,0,0,0,1.0,0.0,3
1140,1,1,3.0,0,1,0,2.0,0.0,3
41767,4,0,3.0,0,1,0,1.0,0.0,3
29931,9,2,2.0,0,0,0,1.0,0.0,3
11565,0,0,2.0,0,1,0,7.0,0.0,3
2361,1,1,1.0,0,1,0,1.0,0.0,3
5468,4,0,3.0,0,1,0,2.0,0.0,3
11531,9,1,2.0,0,1,0,2.0,0.0,3
37491,1,0,1.0,0,1,1,2.0,1.0,2
1615,4,1,3.0,0,1,0,2.0,0.0,3
33302,1,0,2.0,0,1,0,2.0,2.0,2
39664,4,1,3.0,0,0,0,2.0,0.0,3
12419,1,0,1.0,0,1,1,3.0,0.0,3
2181,4,0,1.0,0,1,0,1.0,0.0,3
44077,7,1,2.0,0,0,0,2.0,0.0,3
23465,4,0,3.0,0,0,0,19.0,0.0,3
25474,4,0,3.0,0,1,1,1.0,0.0,3
28970,7,1,2.0,0,1,0,1.0,2.0,2
13051,9,0,3.0,0,0,0,1.0,0.0,3
35124,4,0,3.0,0,1,1,2.0,0.0,3
27493,0,1,2.0,0,1,0,2.0,8.0,0
7100,1,0,2.0,0,1,0,3.0,0.0,3
33513,9,0,2.0,0,0,0,1.0,0.0,3
14717,4,0,3.0,0,1,0,4.0,0.0,3
17209,4,1,2.0,0,0,1,3.0,0.0,3
36308,1,1,2.0,0,1,0,1.0,1.0,0
36145,0,0,3.0,0,1,0,1.0,1.0,0
35609,9,2,2.0,0,0,0,2.0,0.0,3
43645,3,0,1.0,0,0,0,1.0,10.0,0
8824,3,2,2.0,0,1,0,1.0,0.0,3
16391,2,2,2.0,0,1,0,1.0,0.0,3
16025,4,0,2.0,0,1,1,1.0,0.0,3
25367,1,0,2.0,0,1,0,2.0,7.0,0
28006,1,0,1.0,0,0,0,1.0,0.0,3
36385,7,1,2.0,0,1,0,2.0,3.0,0
8004,6,0,2.0,0,1,0,3.0,0.0,3
37240,0,2,2.0,0,1,0,5.0,0.0,3
12568,9,2,1.0,0,0,1,3.0,0.0,3
3594,9,0,3.0,0,1,0,11.0,0.0,3
9412,9,0,3.0,0,0,0,1.0,0.0,3
35321,4,0,3.0,0,1,0,1.0,0.0,3
31659,1,0,1.0,0,1,1,3.0,1.0,0
36953,1,0,1.0,0,1,0,3.0,0.0,3
4542,6,1,2.0,0,1,0,1.0,0.0,3
22619,4,2,3.0,0,0,0,2.0,0.0,3
24439,0,0,2.0,0,1,0,2.0,2.0,2
43473,7,0,1.0,0,1,0,1.0,8.0,1
38755,7,1,2.0,0,1,0,2.0,2.0,0
37306,1,2,1.0,0,1,0,2.0,0.0,3
7067,1,0,2.0,0,1,1,2.0,0.0,3
20141,9,0,2.0,0,0,1,2.0,0.0,3
33642,1,0,2.0,0,1,0,5.0,0.0,3
11363,0,0,2.0,0,0,0,1.0,0.0,3
8159,9,0,2.0,0,1,0,3.0,0.0,3
3699,3,0,1.0,0,1,0,1.0,0.0,3
7897,7,0,2.0,0,1,1,2.0,0.0,3
10485,9,1,2.0,0,0,1,2.0,0.0,3
21728,1,0,2.0,0,0,0,2.0,0.0,3
27136,0,0,2.0,0,0,0,2.0,0.0,3
17483,9,1,2.0,0,1,1,4.0,0.0,3
22514,4,1,3.0,0,0,0,4.0,0.0,3
2264,6,2,2.0,0,1,0,7.0,0.0,3
13651,4,0,3.0,0,0,0,5.0,0.0,3
26407,6,0,3.0,0,0,0,1.0,0.0,3
2500,1,0,1.0,0,0,0,1.0,0.0,3
44406,2,0,2.0,0,0,0,2.0,2.0,1
3025,0,0,2.0,0,1,1,5.0,0.0,3
42655,9,1,3.0,0,0,0,7.0,0.0,3
37567,4,0,3.0,0,1,0,15.0,38.0,0
7924,1,0,2.0,0,1,0,5.0,0.0,3
8546,1,0,1.0,0,1,0,2.0,0.0,3
38904,4,1,3.0,0,1,0,1.0,0.0,3
1108,1,2,1.0,0,1,0,3.0,0.0,3
31099,5,0,3.0,0,0,0,1.0,0.0,3
9639,5,0,2.0,0,1,1,4.0,0.0,3
941,1,0,2.0,1,1,0,1.0,0.0,3
61,9,2,2.0,0,1,0,1.0,0.0,3
30691,9,0,2.0,0,0,0,2.0,2.0,0
26068,10,0,2.0,0,0,0,2.0,0.0,3
40516,9,0,2.0,0,0,0,1.0,0.0,3
39170,0,0,2.0,0,0,1,2.0,0.0,3
23243,4,1,3.0,0,0,0,2.0,0.0,3
44303,7,1,2.0,0,0,0,1.0,0.0,3
31638,0,1,2.0,0,1,0,1.0,1.0,0
37104,4,2,3.0,0,1,1,5.0,1.0,1
33418,4,2,2.0,0,1,0,1.0,0.0,3
4715,4,1,2.0,0,1,0,2.0,0.0,3
18920,10,1,3.0,0,0,0,1.0,0.0,3
17189,7,0,2.0,0,0,1,3.0,0.0,3
36499,0,1,2.0,0,1,0,2.0,1.0,0
1786,1,0,1.0,0,1,0,2.0,0.0,3
29526,0,0,2.0,0,1,0,4.0,0.0,3
20724,1,0,1.0,0,0,0,2.0,0.0,3
36411,1,0,1.0,0,1,0,2.0,5.0,0
26731,4,0,3.0,0,1,0,4.0,0.0,3
1159,0,1,2.0,0,1,0,2.0,0.0,3
6579,10,1,2.0,1,1,0,1.0,0.0,3
15360,9,1,2.0,1,1,0,1.0,0.0,3
23032,7,0,2.0,0,0,0,4.0,0.0,3
20427,4,0,2.0,0,0,0,2.0,0.0,3
42196,4,0,2.0,0,0,1,3.0,2.0,0
11617,1,1,2.0,0,0,0,3.0,0.0,3
13676,1,0,2.0,0,1,0,5.0,0.0,3
1718,8,1,2.0,0,1,0,2.0,0.0,3
11094,0,1,2.0,0,1,0,2.0,0.0,3
30819,1,0,2.0,0,1,0,2.0,2.0,0
36185,1,2,2.0,0,1,0,1.0,3.0,0
43350,7,0,2.0,0,0,0,1.0,0.0,3
9078,10,1,1.0,0,1,0,2.0,0.0,3
27501,8,1,2.0,0,1,0,2.0,0.0,3
23584,9,2,2.0,0,0,0,16.0,0.0,3
35810,1,0,2.0,0,1,0,1.0,0.0,3
3663,1,0,1.0,0,1,0,3.0,0.0,3
34167,4,0,3.0,0,0,0,1.0,5.0,2
35621,0,2,2.0,0,1,0,1.0,1.0,0
30078,4,0,3.0,0,1,1,4.0,7.0,2
11757,6,0,2.0,0,0,0,1.0,0.0,3
12956,1,1,2.0,0,0,0,2.0,0.0,3
33465,1,0,2.0,0,1,0,1.0,0.0,3
11713,9,0,2.0,0,1,1,1.0,0.0,3
2607,7,2,2.0,0,1,1,1.0,0.0,3
9707,11,0,1.0,0,0,0,2.0,0.0,3
43110,6,1,3.0,0,0,0,1.0,7.0,0
36563,9,0,2.0,0,1,0,1.0,1.0,0
8411,9,0,2.0,0,1,0,1.0,0.0,3
30750,9,1,3.0,0,1,1,16.0,0.0,3
4096,9,1,2.0,0,1,0,1.0,0.0,3
11593,4,0,2.0,0,0,1,2.0,0.0,3
7739,6,1,3.0,0,1,0,2.0,0.0,3
20254,4,0,3.0,0,0,0,4.0,0.0,3
14917,10,0,2.0,0,0,0,2.0,0.0,3
30488,4,0,3.0,0,0,0,7.0,0.0,3
19301,3,0,2.0,0,0,0,2.0,0.0,3
30009,9,1,3.0,0,0,0,1.0,0.0,3
26793,6,0,2.0,0,1,0,2.0,0.0,3
35002,1,1,1.0,0,1,0,1.0,0.0,3
32737,1,0,2.0,0,1,0,7.0,2.0,0
36502,2,0,3.0,0,1,0,3.0,6.0,0
41653,0,0,2.0,0,0,0,1.0,1.0,1
27157,4,0,3.0,0,1,1,1.0,0.0,3
44609,4,0,3.0,0,0,0,1.0,2.0,0
4812,9,2,2.0,0,0,0,1.0,0.0,3
6389,3,0,2.0,0,1,1,1.0,0.0,3
10203,7,0,2.0,0,1,1,2.0,0.0,3
24809,9,1,3.0,0,1,1,1.0,0.0,3
19797,4,0,3.0,0,0,0,2.0,0.0,3
10378,9,0,2.0,1,0,0,1.0,0.0,3
23113,4,1,3.0,0,0,0,7.0,0.0,3
27379,4,2,3.0,0,1,0,1.0,0.0,3
1184,2,0,1.0,0,1,0,1.0,0.0,3
